id,lat,long,timezone,yr,mon,day,hr,temp,rh,ws,prec,grass_fuel_load,percent_cured,solrad,sunrise,sunset,sunlight_hours,mcffmc,ffmc,dmc,dc,isi,bui,fwi,dsr,mcgfmc_matted,mcgfmc_standing,gfmc,gsi,gfwi,prec_cumulative,canopy_drying
PRF,45.996,-77.427,-4,2007,5,12,23,2.649,41.45,3.45,0.0,0.35,83.14,0.0,5.7026,20.4912,14.7887,10.2653,90.542,12.8223,32.4492,5.5086,12.9005,6.8098,0.8114,13.0101,13.762,85.5227,2.9744,11.0378,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,13,0,0.567,50.5,3.459,0.0,0.35,82.51,0.0,5.6813,20.5118,14.8304,10.8474,89.9896,12.8223,32.4492,5.0921,12.9005,6.3278,0.7125,14.739,15.2488,84.0526,2.2202,8.949,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,13,1,-0.376,60.12,5.17,0.0,0.35,82.51,0.0,5.6813,20.5118,14.8304,11.6629,89.2226,12.8223,32.4492,4.9722,12.9005,6.1865,0.6846,16.6613,16.9909,82.5068,2.284,9.1514,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,13,2,-1.23,67.36,4.769,0.0,0.35,82.51,0.0,5.6813,20.5118,14.8304,12.5754,88.3737,12.8223,32.4492,4.3134,12.9005,5.3894,0.5363,18.4722,18.6846,81.1588,0.8696,3.2904,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,13,3,-2.652,72.92,5.806,0.0,0.35,82.51,0.0,5.6813,20.5118,14.8304,13.5628,87.4659,12.8223,32.4492,3.9905,12.9005,4.9841,0.467,20.223,20.3592,79.7996,0.0,0.0,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,13,4,-3.403,73.64,4.57,0.0,0.35,82.51,0.0,5.6813,20.5118,14.8304,14.417,86.6895,12.8223,32.4492,3.357,12.9005,4.156,0.3386,21.4231,21.5128,78.9372,0.0,0.0,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,13,5,-3.608,81.1,4.434,0.0,0.35,82.51,0.0,5.6813,20.5118,14.8304,15.4296,85.7797,12.8223,32.4492,2.9328,12.9005,3.5725,0.259,22.971,23.0293,77.7779,0.0,0.0,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,13,6,-3.062,77.7,5.35,0.0,0.35,82.51,0.0073,5.6813,20.5118,14.8304,16.2157,85.0811,12.8223,32.4492,2.7874,12.9005,3.366,0.2331,23.5159,23.6264,77.3485,0.0,0.0,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,13,7,0.39,63.52,5.402,0.0,0.35,82.51,0.0757,5.6813,20.5118,14.8304,16.4535,84.8711,12.8255,32.6426,2.7152,12.9402,3.2691,0.2214,22.8555,23.3445,77.8398,0.0,0.0,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,13,8,4.072,48.34,6.56,0.0,0.35,82.51,0.2111,5.6813,20.5118,14.8304,16.4226,84.8984,12.8722,32.8912,2.8891,13.0128,3.5313,0.2538,20.1098,21.6788,79.8566,0.0,0.0,0.0,0.0
